Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Morphologic Abnormalities of Neoplasms	PHVS_MorphologicAbnormalitiesOfNeoplasms	2.16.840.1.114222.4.11.7256	3	"HL7 Implementation Guide for CDA© Release 2: Reporting to Public Health 
Cancer Registries from Ambulatory Healthcare Providers, Release 1 
(US Realm) Draft Standard for Trial Use.
Contains codes descending 
from the following SNOMED CT® concepts: Malignant neoplasm of primary, 
secondary, or uncertain origin (morphologic abnormality) [367651003], 
Nervous system tumor morphology (morphologic abnormality) [253061008], 
Intratubular malignant germ cells (morphologic abnormality) 
[128902002], In situ melanocytic morphology (morphologic abnormality) 
[253035009], In situ neoplasm (morphologic abnormality) [127569003], 
Carcinoma in situ - category (morphologic abnormality) [399919001], 
Squamous intraepithelial neoplasia - category (morphologic abnormality) 
[399962000], In situ adenomatous neoplasm - category (morphologic 
abnormality) [399983006]. 

Also includes following SNOMED CT 
codes and any descendants of such codes: Chronic myeloproliferative 
disorder (morphologic abnormality) [115248004], Cavernous lymphangioma 
(morphologic abnormality) [89056007], Paraganglioma (morphologic 
abnormality) [803009], Craniopharyngioma (morphologic abnormality) 
[40009002], Craniopharyngioma, adamantinomatous (morphologic abnormality) 
[128781004], Craniopharyngioma, papillary (morphologic abnormality) 
[128782006], Pineocytoma (morphologic abnormality) [89096009], 
Pleomorphic adenoma (morphologic abnormality) [8360001], Intratubular 
malignant germ cells (morphologic abnormality) [128902002]."	Published	10/21/2015	v3

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
51217003	Acidophil carcinoma (morphologic abnormality)	Acidophil carcinoma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45410002	Acinar cell carcinoma (morphologic abnormality)	Acinar cell carcinoma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128703004	Acinar cell cystadenocarcinoma (morphologic abnormality)	Acinar cell cystadenocarcinoma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
16974005	Acral lentiginous melanoma, malignant (morphologic abnormality)	Acral lentiginous melanoma, malignant		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
69077002	Acute basophilic leukemia (morphologic abnormality)	Acute basophilic leukemia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128818009	Acute biphenotypic leukemia (morphologic abnormality)	Acute biphenotypic leukemia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128932005	Acute leukemia - category (morphologic abnormality)	Acute leukemia - category		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
397345009	Acute leukemia of ambiguous lineage (morphologic abnormality)	Acute leukemia of ambiguous lineage		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
24072005	Acute leukemia, morphology, including blast cell OR undifferentiated leukemia (morphologic abnormality)	Acute leukemia, morphology, including blast cell OR undifferentiated leukemia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
413440007	Acute lymphoblastic leukemia - category (morphologic abnormality)	Acute lymphoblastic leukemia - category		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
52220008	Acute megakaryoblastic leukemia, morphology (morphologic abnormality)	Acute megakaryoblastic leukemia, morphology		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
703818007	Acute monoblastic and monocytic leukemia (morphologic abnormality)	Acute monoblastic and monocytic leukemia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
22331004	Acute monocytic leukemia, morphology (morphologic abnormality)	Acute monocytic leukemia, morphology		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
413443009	Acute myeloid leukemia - category (morphologic abnormality)	Acute myeloid leukemia - category		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450937003	Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1 (morphologic abnormality)	Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103688009	Acute myeloid leukemia with abnormal marrow eosinophils and inv(16)(p13q22) or t(16;16)(p13;q22) (morphologic abnormality)	Acute myeloid leukemia with abnormal marrow eosinophils and inv(16)(p13q22) or t(16;16)(p13;q22)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450929006	Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1 (morphologic abnormality)	Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103691009	Acute myeloid leukemia with maturation (morphologic abnormality)	Acute myeloid leukemia with maturation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128827005	Acute myeloid leukemia with multilineage dysplasia (morphologic abnormality)	Acute myeloid leukemia with multilineage dysplasia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
397341000	Acute myeloid leukemia with multilineage dysplasia following a myelodysplastic syndrome or myelodysplastic syndrome/myeloproliferative disorder (morphologic abnormality)	Acute myeloid leukemia with multilineage dysplasia following a myelodysplastic syndrome or myelodysplastic syndrome/myeloproliferative disorder		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
397342007	Acute myeloid leukemia with multilineage dysplasia without antecedent myelodysplastic syndrome (morphologic abnormality)	Acute myeloid leukemia with multilineage dysplasia without antecedent myelodysplastic syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
703819004	Acute myeloid leukemia with mutated CEBPA (morphologic abnormality)	Acute myeloid leukemia with mutated CEBPA		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
703820005	Acute myeloid leukemia with mutated NPM1 (morphologic abnormality)	Acute myeloid leukemia with mutated NPM1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
397340004	Acute myeloid leukemia with recurrent genetic abnormality (morphologic abnormality)	Acute myeloid leukemia with recurrent genetic abnormality		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
450928003	Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214 (morphologic abnormality)	Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103690005	Acute myeloid leukemia without maturation (morphologic abnormality)	Acute myeloid leukemia without maturation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128829008	Acute myeloid leukemia, 11q23 abnormalities (morphologic abnormality)	Acute myeloid leukemia, 11q23 abnormalities		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
14317002	Acute myeloid leukemia, M6 type (morphologic abnormality)	Acute myeloid leukemia, M6 type		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103689001	Acute myeloid leukemia, minimal differentiation (morphologic abnormality)	Acute myeloid leukemia, minimal differentiation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17788007	Acute myeloid leukemia, no International Classification of Diseases for Oncology subtype (morphologic abnormality)	Acute myeloid leukemia, no International Classification of Diseases for Oncology subtype		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
128828000	Acute myeloid leukemia, t(8;21) (q22;q22) (morphologic abnormality)	Acute myeloid leukemia, t(8;21) (q22;q22)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30962008	Acute myelomonocytic leukemia (morphologic abnormality)	Acute myelomonocytic leukemia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
80570006	Acute panmyelosis with myelofibrosis (morphologic abnormality)	Acute panmyelosis with myelofibrosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28950004	Acute promyelocytic leukemia, t(15;17)(q22;q11-12) (morphologic abnormality)	Acute promyelocytic leukemia, t(15;17)(q22;q11-12)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
56763007	Adamantinoma of long bones (morphologic abnormality)	Adamantinoma of long bones		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
134216001	Adamantinous craniopharyngioma (morphologic abnormality)	Adamantinous craniopharyngioma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
86293007	Adenocarcinoid tumor (morphologic abnormality)	Adenocarcinoid tumor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43233001	Adenocarcinoma in adenomatous polyp (morphologic abnormality)	Adenocarcinoma in adenomatous polyp		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
57513006	Adenocarcinoma in adenomatous polyposis coli (morphologic abnormality)	Adenocarcinoma in adenomatous polyposis coli		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
47299001	Adenocarcinoma in multiple adenomatous polyps (morphologic abnormality)	Adenocarcinoma in multiple adenomatous polyps		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
