Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (CP-CRE)	PHVS_LabTestType_CP-CRE	2.16.840.1.114222.4.11.7898	1	Epidemiologic interpretation of the type of test(s) performed for this case.		Published	08/02/2019	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
LAB696	Polymerase chain reaction analysis test	PCR		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
86930-5	Carbapenemase Islt Ql	Carbapenemase production		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LABAST6	Antimicrobial susceptibility Test Type	AST(antimicrobial susceptibility testing)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
86206-0	Whole genome seq analysis Bld/T	WGS (whole genome sequencing)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB608	Other Test Type	Other Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
373121007	Test not done (qualifier value)	Not Done		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
LAB609	Unknown Test Type	Unknown Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
